Field 1,Field 0,Field 1 2,Ingredient (as per 100 g),Synonyms,Fruit/Veg,Red/Processed Meat,Not food/drink,No Data Available,Energy (Kj),Energy (Kcal),Carbohydrate (g),Of which sugars (g),Fibre (g),Protein (g),Total fat (g),Of which saturates (g),Monounsaturated fat (g),Polyunsaturated fat (g),Omega 3 (g),Omega 6 (g),Trans-fats (g),Salt (g),Alcohol (g),Calcium (mg),Chloride (mg),Phosphorus (mg),Sodium (mg),Potassium (mg),Magnesium (mg),Iron (mg),Selenium (ug),Iodine (ug),Vitamin A (ug),Vitamin D (ug),Vitamin E (mg),Vitamin K1,Thiamin (B1) (mg),Riboflavin (B2) (mg),Niacin (B3) (mg),Pantothenic acid (B5) (mg),Pyridoxine (B6) (mg),Biotin (B7) (ug),Folates (B9) (ug),Vitamin B12 (ug),Vitamin C (mg),Nutritics ID,Comments,Source URL,Source URL 2,Source URL 3,Source URL 4,Source URL 5
315,919,1008,pizza sauce,,,,,,210,50,3,2.6,0.7,1.1,3.6,0.5,2.6,0.2,0.02,0.26,0.02,0.78,0,15.3,507,21.2,312,251,12.2,0.51,0.05,3.1,60,0,1.3,7.6,0.05,0.02,0.79,0.19,0.11,1.4,16.9,0,11.6,5429,,,,,,
316,921,1010,cooked bacon,,,checked,,,1277,307,0,0,0,25,23,8.4,10,3,0.38,2.6,0.14,3.5,0,8,2060,220,1390,350,21,0.7,11,8,0,0.6,0.13,0,0.77,0.17,12.6,1.3,0.42,6,3,1,0,62746,,,,,,
317,922,1011,pastry flour,,,,,,1505,355,1.4,0.6,4,10,1.4,0.4,0.23,0.24,0,0.23,0,0,0,96,0,114,0,175,23,1.9,3,0,0,0,0.59,0.76,0.28,0.05,3.7,0.44,0.18,1.8,16,0,0,63832,,,,,,
318,923,1012,maraschino cherries,"confection, sweet, maraschino",,,,,697,164,39,39,3.2,0,0,0.04,0.05,,,,0,0,0,54,,3,4,21,4,0.43,0.2,,2,0,0.05,1.5,0,0,,0.05,0.01,,0,0,0,141927,,,,,,
319,926,1016,milk powder,"dry milk, nonfat dry milk, milk, powdered milk, dried milk",,,,,1486,350,51,50,0,36,0.6,0.4,0.2,0,0,0,0,1.4,0,1280,1070,970,550,1590,130,0.27,11,150,551,1.5,0.01,0,0.38,1.6,9.6,3.3,0.6,20.1,51,2.6,13,64331,"skimmed, fortified
",,,,,
320,927,1017,toasted sesame oil,,,,,,3700,900,0,0,0,0,100,14.6,,,,,,0,0,,0,,0,,,,,,,,,,,,,,,,,,,2578218,,,,,,
321,928,1018,orzo,"alimentary paste, pasta",,,,,1537,362,72,0.5,1.6,14,1.5,0.2,0.22,,0.06,0.84,0,0,0,23,20,200,0,230,48,1.8,,0,0,0,0,,0.49,0.06,4.9,0.3,0.11,1,,0,0,77554,Dried,,,,,
322,929,1019,taco seasoning mix,,,,,,1322,315,63,28,,9.1,6,1,,,,,,10,0,,6060,,4000,,,,,,,,,,,,,,,,0,,,"4299351
",,,,,,
323,930,1020,white chocolate chips,,,,,,2226,533,56,56,9,8,31,18.4,10,1.1,,,,0.28,0,270,250,230,110,350,26,0.2,,,26,0,1.1,,0.08,0.49,2.8,0.59,0.07,3,10,0,0,63420,,,,,,
324,933,1023,cooked white rice,,,,,,610,144,32,0,0.7,3.2,0.5,0.08,0.12,0.13,0,0.13,0,0.02,0,20,88,39,6,18,7,0.06,7,0,0,0,0.01,0,0.05,0,1.4,0.09,0.03,0.4,6,0,0,65037,,,,,,
325,935,1025,red food coloring,,,,,,0,0,0,0,,0,0,0,0,0,0,0,0,23.2,0,0,,,9263,,0,0,0,0,,,,,,,,,,,,,,5815,,,,,,
